Position,Const,Created,Modified,Description,Name,Known For,Birth Date
300,nm0000379,2014-03-09,2014-03-09,,Kirsten Dunst,Spider-Man,1982-04-30
301,nm0001207,2014-03-09,2014-03-09,,Jos� Ferrer,Dune,1912-01-08
302,nm0002024,2014-03-09,2014-03-09,,Broderick Crawford,All the King's Men,1911-12-09
303,nm0172903,2014-03-09,2014-03-09,,Ronald Colman,Random Harvest,1891-02-09
304,nm0545298,2014-03-09,2014-03-09,,Fredric March,The Best Years of Our Lives,1897-08-31
305,nm0001537,2014-03-09,2014-03-09,,Ray Milland,The Lost Weekend,1907-01-03
306,nm0001078,2014-03-09,2014-03-09,,Bing Crosby,White Christmas,1903-05-02
307,nm0510134,2014-03-09,2014-03-09,,Paul Lukas,Watch on the Rhine,1891-05-26
308,nm0232196,2014-03-09,2014-03-09,,Robert Donat,The 39 Steps,1905-03-18
309,nm0612847,2014-03-09,2014-03-09,,Paul Muni,Scarface: The Shame of the Nation,1895-09-22
310,nm0572142,2014-03-09,2014-03-09,,Victor McLaglen,The Quiet Man,1886-12-10
311,nm0001452,2014-03-09,2014-03-09,,Charles Laughton,Witness for the Prosecution,1899-07-01
312,nm0000891,2014-03-09,2014-03-09,,Wallace Beery,Dinner at Eight,1885-04-01
313,nm0000859,2014-03-10,2014-03-10,,Lionel Barrymore,Key Largo,1878-04-28
314,nm0000156,2014-03-10,2014-03-10,,Jeff Goldblum,Jurassic Park,1952-10-22
315,nm1165110,2014-03-09,2014-03-09,,Chris Hemsworth,The Avengers,1983-08-11
316,nm0062828,2014-03-10,2014-03-10,,Warner Baxter,Penthouse,1889-03-29
317,nm0417837,2014-03-10,2014-03-10,,Emil Jannings,The Last Command,1884-07-23
318,nm0177933,2014-03-10,2014-03-10,,Chris Cooper,Adaptation.,1951-07-09
319,nm0000980,2014-03-10,2014-03-10,,Jim Broadbent,Moulin Rouge!,1949-05-24
320,nm0000336,2014-03-10,2014-03-10,,James Coburn,The Great Escape,1928-08-31
321,nm0000421,2014-03-10,2014-03-10,,Cuba Gooding Jr.,Jerry Maguire,1968-01-02
322,nm0001445,2014-03-10,2014-03-10,,Martin Landau,Ed Wood,1928-06-20
323,nm0001588,2014-03-10,2014-03-10,,Jack Palance,City Slickers,1920-02-18
324,nm0000177,2014-03-10,2014-03-10,,Kevin Kline,Wild Wild West,1947-10-24
325,nm0000747,2014-03-10,2014-03-10,,Don Ameche,Cocoon,1908-05-31
326,nm0000295,2014-03-10,2014-03-10,,Kate Beckinsale,Underworld: Evolution,1973-07-26
327,nm0221046,2014-03-10,2014-03-10,,Zooey Deschanel,New Girl,1980-01-17
328,nm0931329,2014-03-10,2014-03-10,,Michelle Williams,Blue Valentine,1980-09-09
329,nm0000170,2014-03-10,2014-03-10,,Milla Jovovich,The Fifth Element,1975-12-17
330,nm1411125,2014-03-10,2014-03-10,,Selena Gomez,Monte Carlo,1992-07-22
331,nm0001838,2014-03-10,2014-03-10,,Rachel Weisz,The Constant Gardener,1970-03-07
332,nm0068338,2014-03-10,2014-03-10,,Kristen Bell,Frozen,1980-07-18
333,nm0001337,2014-03-10,2014-03-10,,Katherine Heigl,One for the Money,1978-11-24
334,nm0000239,2014-03-10,2014-03-10,,Liv Tyler,Armageddon,1977-07-01
335,nm1567113,2014-03-10,2014-03-10,,Jessica Chastain,Zero Dark Thirty,1977-03-24
336,nm1083271,2014-03-10,2014-03-10,,Megan Fox,Transformers,1986-05-16
337,nm0924508,2014-03-10,2014-03-10,,Betty White,The Proposal,1922-01-17
338,nm0656183,2014-03-10,2014-03-10,,Geraldine Page,The Trip to Bountiful,1924-11-22
339,nm0244630,2014-03-10,2014-03-10,,Eliza Dushku,Bring It On,1980-12-30
340,nm0000705,2014-03-10,2014-03-10,,Robin Wright,Forrest Gump,1966-04-08
341,nm1015262,2014-03-10,2014-03-10,,Leighton Meester,Gossip Girl,1986-04-09
342,nm0428354,2014-03-09,2014-03-09,,Jennifer Jones,The Towering Inferno,1919-03-02
343,nm0000073,2014-03-10,2014-03-10,,Shirley Temple,Captain January,1928-04-23
344,nm0000506,2014-03-10,2014-03-10,,Julia Louis-Dreyfus,Seinfeld,1961-01-13
345,nm1880888,2014-03-10,2014-03-10,,Olivia Thirlby,Juno,1986-10-06
346,nm0000333,2014-03-10,2014-03-10,,Cher,Moonstruck,1946-05-20
347,nm0000651,2014-03-09,2014-03-09,,Sissy Spacek,In the Bedroom,1949-12-25
348,nm0001221,2014-03-10,2014-03-10,,Louise Fletcher,One Flew Over the Cuckoo's Nest,1934-07-22
349,nm0001046,2014-03-10,2014-03-10,,Julie Christie,Doctor Zhivago,1940-04-14
350,nm0623658,2014-03-10,2014-03-10,,Patricia Neal,The Day the Earth Stood Still,1926-01-20
351,nm0628955,2014-03-10,2014-03-10,,Haing S. Ngor,The Killing Fields,1940-03-22
352,nm0001283,2014-03-10,2014-03-10,,Louis Gossett Jr.,An Officer and a Gentleman,1936-05-27
353,nm0000024,2014-03-10,2014-03-10,,John Gielgud,Arthur,1904-04-14
354,nm0000459,2014-03-10,2014-03-10,,Timothy Hutton,Ordinary People,1960-08-16
355,nm0002048,2014-03-10,2014-03-10,,Melvyn Douglas,Being There,1901-04-05
356,nm0001673,2014-03-10,2014-03-10,,Jason Robards,All the President's Men,1922-07-26
357,nm0122675,2014-03-10,2014-03-10,,George Burns,"Oh, God!",1896-01-20
358,nm0000288,2014-03-09,2014-03-09,,Christian Bale,The Dark Knight,1974-01-30
359,nm0000160,2014-03-10,2014-03-10,,Ethan Hawke,Training Day,1970-11-06
360,nm0424565,2014-03-10,2014-03-10,,Ben Johnson,The Last Picture Show,1918-06-13
361,nm0590055,2014-03-10,2014-03-10,,John Mills,The Family Way,1908-02-22
362,nm0016776,2014-03-10,2014-03-10,,Jack Albertson,Willy Wonka & the Chocolate Factory,1907-06-16
363,nm0000576,2014-03-09,2014-03-09,,Sean Penn,Mystic River,1960-08-17
364,nm0001421,2014-03-10,2014-03-10,,George Kennedy,Cool Hand Luke,1925-02-18
365,nm0000527,2014-03-10,2014-03-10,,Walter Matthau,The Odd Couple,1920-10-01
366,nm0000842,2014-03-10,2014-03-10,,Martin Balsam,All the President's Men,1919-11-04
367,nm0001811,2014-03-10,2014-03-10,,Peter Ustinov,Spartacus,1921-04-16
368,nm0003225,2014-03-10,2014-03-10,,Ed Begley,12 Angry Men,1901-03-25
369,nm0001995,2014-03-10,2014-03-10,,George Chakiris,West Side Story,1934-09-16
370,nm0341518,2014-03-10,2014-03-10,,Hugh Griffith,Ben-Hur,1912-05-30
371,nm0412322,2014-03-10,2014-03-10,,Burl Ives,The Big Country,1909-06-14
372,nm0000999,2014-03-10,2014-03-10,,Red Buttons,The Poseidon Adventure,1919-02-05
373,nm0639529,2014-03-10,2014-03-10,,Edmond O'Brien,The Man Who Shot Liberty Valance,1915-09-10
374,nm0695435,2015-03-08,2015-03-08,,Chris Pratt,Guardians of the Galaxy,1979-06-21
375,nm0000069,2014-03-10,2014-03-10,,Frank Sinatra,From Here to Eternity,1915-12-12
376,nm0000843,2014-03-10,2014-03-10,,Anne Bancroft,The Graduate,1931-09-17
377,nm0001571,2014-03-10,2014-03-10,,Kim Novak,Vertigo,1933-02-13
378,nm0797531,2014-03-10,2014-03-10,,Simone Signoret,Les diaboliques,1921-03-25
379,nm0680983,2014-03-10,2014-03-10,,Ellen Page,Juno,1987-02-21
380,nm0001450,2017-09-16,2017-09-16,,Angela Lansbury,The Manchurian Candidate,1925-10-16
381,nm0391062,2014-03-10,2014-03-10,,Judy Holliday,Born Yesterday,1921-06-21
382,nm0949835,2014-03-10,2014-03-10,,Loretta Young,The Farmer's Daughter,1913-01-06
383,nm0429250,2014-03-10,2014-03-10,,Shirley Jones,The Music Man,1934-03-31
384,nm0267812,2014-03-10,2014-03-10,,Vera Farmiga,Up in the Air,1973-08-06
385,nm0371040,2014-03-10,2014-03-10,,Helen Hayes,Airport,1900-10-10
386,nm0237597,2014-03-10,2014-03-10,,Marie Dressler,Min and Bill,1868-11-09
387,nm0310980,2014-03-10,2014-03-10,,Janet Gaynor,A Star Is Born,1906-10-06
388,nm2143282,2014-03-10,2014-03-10,,Lupita Nyong'o,12 Years a Slave,1983-03-01
389,nm0818055,2014-03-10,2014-03-10,,Octavia Spencer,Hidden Figures,1972-05-25
390,nm0502425,2014-03-10,2014-03-10,,Melissa Leo,The Fighter,1960-09-14
391,nm0594898,2014-03-10,2014-03-10,,Mo'Nique,Precious,1967-12-11
392,nm0559144,2014-03-10,2014-03-10,,Marlee Matlin,Children of a Lesser God,1965-08-24
393,nm0842770,2014-03-10,2014-03-10,,Tilda Swinton,We Need to Talk About Kevin,1960-11-05
394,nm1617685,2014-03-10,2014-03-10,,Jennifer Hudson,Dreamgirls,1981-09-12
395,nm0000250,2014-03-10,2014-03-10,,Ren�e Zellweger,Chicago,1969-04-25
396,nm0001315,2014-03-10,2014-03-10,,Marcia Gay Harden,Mystic River,1959-08-14
397,nm0001593,2014-03-10,2014-03-10,,Anna Paquin,The Piano,1982-07-24
398,nm0000673,2014-03-10,2014-03-10,,Marisa Tomei,My Cousin Vinny,1964-12-04
399,nm0001689,2014-03-10,2014-03-10,,Mercedes Ruehl,The Fisher King,1948-02-28
400,nm0002084,2014-03-10,2014-03-10,,Brenda Fricker,My Left Foot: The Story of Christy Brown,1945-02-17
401,nm0000606,2016-06-18,2016-06-18,,Jean Reno,L�on,1948-07-30
402,nm0001695,2014-03-10,2014-03-10,,George Sanders,All About Eve,1906-07-03
403,nm0415591,2014-03-10,2014-03-10,,Dean Jagger,White Christmas,1903-11-07
404,nm0404158,2014-03-10,2014-03-10,,Walter Huston,The Treasure of the Sierra Madre,1883-04-05
405,nm0350324,2014-03-10,2014-03-10,,Edmund Gwenn,Miracle on 34th Street,1877-09-26
406,nm0751174,2014-03-10,2014-03-10,,Harold Russell,The Best Years of Our Lives,1914-01-14
407,nm0000424,2014-03-10,2014-03-10,,Hugh Grant,Love Actually,1960-09-09
408,nm0280178,2014-03-10,2014-03-10,,Barry Fitzgerald,The Quiet Man,1888-03-10
409,nm0002013,2014-03-10,2014-03-10,,Charles Coburn,The More the Merrier,1877-06-19
410,nm0001336,2014-03-10,2014-03-10,,Van Heflin,Shane,1908-12-13
411,nm0187981,2014-03-10,2014-03-10,,Donald Crisp,How Green Was My Valley,1882-07-27
412,nm0593775,2014-03-10,2014-03-10,,Thomas Mitchell,Stagecoach,1892-07-11
413,nm0000974,2014-03-10,2014-03-10,,Walter Brennan,Red River,1894-07-25
414,nm0771584,2014-03-10,2014-03-10,,Joseph Schildkraut,The Diary of Anne Frank,1896-03-22
415,nm0000206,2014-03-10,2014-03-10,,Keanu Reeves,The Matrix,1964-09-02
416,nm1475594,2014-03-10,2014-03-10,,Channing Tatum,21 Jump Street,1980-04-26
417,nm0413168,2014-03-10,2014-03-10,,Hugh Jackman,Les Mis�rables,1968-10-12
418,nm0425005,2014-03-10,2014-03-10,,Dwayne Johnson,Jumanji: Welcome to the Jungle,1972-05-02
419,nm0001191,2014-03-10,2014-03-10,,Adam Sandler,The Waterboy,1966-09-09
420,nm0705356,2014-03-10,2014-03-10,,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,1989-07-23
421,nm0185819,2014-03-10,2014-03-10,,Daniel Craig,Casino Royale,1968-03-02
422,nm0147147,2014-03-09,2014-03-09,,Henry Cavill,Man of Steel,1983-05-05
423,nm0004874,2014-03-10,2014-03-10,,Vin Diesel,Guardians of the Galaxy,1967-07-18
424,nm0000255,2014-03-10,2014-03-10,,Ben Affleck,Argo,1972-08-15
425,nm1517976,2014-03-10,2014-03-10,,Chris Pine,Star Trek,1980-08-26
426,nm0001156,2014-03-10,2014-03-10,,Olympia Dukakis,Moonstruck,1931-06-20
427,nm0001919,2014-03-10,2014-03-10,,Peggy Ashcroft,A Passage to India,1907-12-22
428,nm0001373,2014-03-10,2014-03-10,,Linda Hunt,The Year of Living Dangerously,1945-04-02
429,nm0822972,2014-03-10,2014-03-10,,Maureen Stapleton,Reds,1925-06-21
430,nm0005460,2014-03-10,2014-03-10,,Mary Steenburgen,Last Vegas,1953-02-08
431,nm0833152,2014-03-10,2014-03-10,,Beatrice Straight,Network,1914-08-02
432,nm0000603,2014-03-10,2014-03-10,,Vanessa Redgrave,Atonement,1937-01-30
433,nm0335519,2014-03-10,2014-03-10,,Lee Grant,In the Heat of the Night,1925-10-31
434,nm0373012,2014-03-10,2014-03-10,,Eileen Heckart,The Bad Seed,1919-03-29
435,nm0001458,2014-03-10,2014-03-10,,Cloris Leachman,The Last Picture Show,1926-04-30
436,nm0002106,2014-03-10,2014-03-10,,Ruth Gordon,Rosemary's Baby,1896-10-30
437,nm0663820,2014-03-10,2014-03-10,,Estelle Parsons,Bonnie and Clyde,1927-11-20
438,nm0006800,2014-03-10,2014-03-10,,Sandy Dennis,Who's Afraid of Virginia Woolf?,1937-04-27
439,nm0001859,2014-03-10,2014-03-10,,Shelley Winters,The Poseidon Adventure,1920-08-18
440,nm0350454,2014-03-10,2014-03-10,,Maggie Gyllenhaal,Secretary,1977-11-16
441,nm0005017,2014-03-10,2014-03-10,,Katie Holmes,Batman Begins,1978-12-18
442,nm0001157,2014-03-10,2014-03-10,,Patty Duke,Valley of the Dolls,1946-12-14
443,nm0001549,2014-03-10,2014-03-10,,Rita Moreno,West Side Story,1931-12-11
444,nm0384908,2014-03-10,2014-03-10,,Wendy Hiller,Murder on the Orient Express,1912-08-15
445,nm0880855,2014-03-10,2014-03-10,,Miyoshi Umeki,Sayonara,1929-05-08
446,nm0540416,2014-03-10,2014-03-10,,Dorothy Malone,Written on the Wind,1924-01-29
447,nm0886888,2014-03-10,2014-03-10,,Jo Van Fleet,East of Eden,1915-12-29
448,nm0001693,2014-03-10,2014-03-10,,Eva Marie Saint,On the Waterfront,1924-07-04
449,nm0002108,2014-03-10,2014-03-10,,Gloria Grahame,The Bad and the Beautiful,1923-11-28
450,nm0001375,2014-03-10,2014-03-10,,Kim Hunter,A Streetcar Named Desire,1922-11-12
451,nm0002011,2019-04-12,2019-04-12,,Lee J. Cobb,12 Angry Men,1911-12-08
452,nm1940449,2014-03-10,2014-03-10,,Andrew Garfield,The Social Network,1983-08-20
453,nm0001030,2019-04-12,2019-04-12,,John Cazale,Dog Day Afternoon,1935-08-12
454,nm0719637,2014-03-10,2014-03-10,,Jeremy Renner,The Hurt Locker,1971-01-07
455,nm0136797,2014-03-10,2014-03-10,,Steve Carell,The Office,1962-08-16
456,nm0241121,2014-03-09,2014-03-09,,Jean Dujardin,The Artist,1972-06-19
457,nm0262635,2014-03-10,2014-03-10,,Chris Evans,The Avengers,1981-06-13
458,nm0290556,2014-03-10,2014-03-10,,James Franco,127 Hours,1978-04-19
459,nm0302108,2014-03-10,2014-03-10,,Zach Galifianakis,The Hangover,1969-10-01
460,nm0002071,2014-03-10,2014-03-10,,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,1967-07-16
461,nm0479471,2014-03-10,2014-03-10,,Shia LaBeouf,Honey Boy,1986-06-11
462,nm0736622,2014-03-10,2014-03-10,,Seth Rogen,This Is the End,1982-04-15
463,nm0330687,2014-03-10,2014-03-10,,Joseph Gordon-Levitt,Inception,1981-02-17
464,nm0005351,2014-03-10,2014-03-10,,Ryan Reynolds,Deadpool 2,1976-10-23
465,nm0748620,2014-03-10,2014-03-10,,Paul Rudd,Ant-Man,1969-04-06
466,nm0781981,2014-03-10,2014-03-10,,Jason Segel,Forgetting Sarah Marshall,1980-01-18
467,nm0005458,2014-03-10,2014-03-10,,Jason Statham,Crank,1967-07-26
468,nm0001813,2016-06-18,2016-06-18,,Dick Van Dyke,Mary Poppins,1925-12-13
469,nm0251986,2014-03-10,2014-03-10,,Jesse Eisenberg,The Social Network,1983-10-05
470,nm0005562,2014-03-10,2014-03-10,,Owen Wilson,The Royal Tenenbaums,1968-11-18
471,nm0000867,2014-03-10,2014-03-10,,Jason Bateman,Arrested Development,1969-01-14
472,nm1347153,2014-03-10,2014-03-10,,Tyler Perry,Diary of a Mad Black Woman,1969-09-14
473,nm2955013,2014-03-10,2014-03-10,,Liam Hemsworth,The Hunger Games,1990-01-13
474,nm0000638,2014-03-10,2014-03-10,,William Shatner,Star Trek V: The Final Frontier,1931-03-22
475,nm0000698,2014-03-09,2014-03-09,,Gene Wilder,Willy Wonka & the Chocolate Factory,1933-06-11
476,nm0000301,2014-03-10,2014-03-10,,Thora Birch,Ghost World,1982-03-11
477,nm0872456,2014-03-10,2014-03-10,,Claire Trevor,Key Largo,1910-03-08
478,nm0002141,2014-03-10,2014-03-10,,Celeste Holm,All About Eve,1917-04-29
479,nm0000879,2014-03-10,2014-03-10,,Anne Baxter,All About Eve,1923-05-07
480,nm0001451,2014-03-10,2014-03-10,,Queen Latifah,Hairspray,1970-03-18
481,nm0000856,2014-03-10,2014-03-10,,Ethel Barrymore,None But the Lonely Heart,1879-08-15
482,nm0206257,2014-03-10,2014-03-10,,Rosario Dawson,Rent,1979-05-09
483,nm0942863,2014-03-10,2014-03-10,,Teresa Wright,Shadow of a Doubt,1918-10-27
484,nm0000802,2014-03-10,2014-03-10,,Mary Astor,The Maltese Falcon,1906-05-03
485,nm0002034,2014-03-10,2014-03-10,,Jane Darwell,The Grapes of Wrath,1879-10-15
486,nm2539953,2016-06-18,2016-06-18,,Alicia Vikander,Ex Machina,1988-10-03
487,nm1985859,2014-03-10,2014-03-10,,Mia Wasikowska,Alice in Wonderland,1989-10-25
488,nm1113550,2014-03-10,2014-03-10,,Abigail Breslin,Little Miss Sunshine,1996-04-14
489,nm0814216,2014-03-10,2014-03-10,,Gale Sondergaard,The Mark of Zorro,1899-02-15
490,nm0565250,2014-03-10,2014-03-10,,Melissa McCarthy,The Heat,1970-08-26
491,nm0275486,2014-03-10,2014-03-10,,Tina Fey,30 Rock,1970-05-18
492,nm0757855,2014-03-10,2014-03-10,,Zoe Saldana,Avatar,1978-06-19
493,nm0005253,2014-03-10,2014-03-10,,Elisabeth Moss,The One I Love,1982-07-24
494,nm1597316,2014-03-10,2014-03-10,,Adrianne Palicki,G.I. Joe: Retaliation,1983-05-06
495,nm0004950,2014-03-10,2014-03-10,,Jennifer Garner,Alias,1972-04-17
496,nm1325419,2014-03-10,2014-03-10,,Kristen Wiig,Bridesmaids,1973-08-22
497,nm0820053,2014-03-10,2014-03-10,,June Squibb,Nebraska,1929-11-06
498,nm1020089,2014-03-10,2014-03-10,,Sally Hawkins,The Shape of Water,1976-04-27
499,nm0192505,2014-03-10,2014-03-10,,Kaley Cuoco,The Big Bang Theory,1985-11-30
500,nm0915208,2014-03-10,2014-03-10,,Naomi Watts,Mulholland Dr.,1968-09-28
501,nm1500155,2019-03-19,2019-03-19,,Robert Pattinson,Twilight,1986-05-13
502,nm0402271,2014-03-10,2014-03-10,,Charlie Hunnam,Sons of Anarchy,1980-04-10
503,nm0396558,2014-03-10,2014-03-10,,Nicholas Hoult,Mad Max: Fury Road,1989-12-07
504,nm1093951,2014-03-10,2014-03-10,,Aaron Taylor-Johnson,Kick-Ass,1990-06-13
505,nm0186505,2014-03-10,2014-03-10,,Bryan Cranston,Breaking Bad,1956-03-07
506,nm0124930,2014-03-10,2014-03-10,,Gerard Butler,300,1969-11-13
507,nm0908094,2014-03-10,2014-03-10,,Paul Walker,The Fast and the Furious,1973-09-12
508,nm0881631,2014-03-10,2014-03-10,,Karl Urban,Star Trek,1972-06-07
509,nm0503567,2014-03-10,2014-03-10,,Logan Lerman,The Perks of Being a Wallflower,1992-01-19
510,nm2002649,2014-03-10,2014-03-10,,Dave Franco,Neighbors,1985-06-12
511,nm1089991,2014-03-10,2014-03-10,,Tom Hiddleston,The Avengers,1981-02-09
512,nm0227759,2014-03-10,2014-03-10,,Peter Dinklage,Game of Thrones,1969-06-11
513,nm2018237,2014-03-10,2014-03-10,,Taylor Kitsch,X-Men Origins: Wolverine,1981-04-08
514,nm0001570,2019-04-12,2019-04-12,,Edward Norton,Keeping the Faith,1969-08-18
515,nm0001602,2014-03-10,2014-03-10,,Guy Pearce,Memento,1967-10-05
516,nm0749263,2014-03-10,2014-03-10,,Mark Ruffalo,The Kids Are All Right,1967-11-22
517,nm0000620,2014-03-10,2014-03-10,,Mickey Rourke,The Wrestler,1952-09-16
518,nm0001449,2014-03-10,2014-03-10,,Frank Langella,Frost/Nixon,1938-01-01
519,nm1519666,2015-03-08,2015-03-08,,Eddie Redmayne,Les Mis�rables,1982-01-06
520,nm0000657,2014-03-10,2014-03-10,,David Strathairn,"Good Night, and Good Luck.",1949-01-26
521,nm0005024,2014-03-10,2014-03-10,,Terrence Howard,Hustle & Flow,1969-03-11
522,nm0000146,2014-03-09,2014-03-09,,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
523,nm0929489,2014-03-10,2014-03-10,,Tom Wilkinson,Michael Clayton,1948-02-05
524,nm0002070,2014-03-10,2014-03-10,,Richard Farnsworth,The Straight Story,1920-09-01
525,nm0000560,2014-03-10,2014-03-10,,Nick Nolte,Warrior,1941-02-08
526,nm1455681,2014-03-10,2014-03-10,,AnnaSophia Robb,Bridge to Terabithia,1993-12-08
527,nm2605345,2014-03-10,2014-03-10,,Gemma Arterton,Prince of Persia: The Sands of Time,1986-02-02
528,nm1312575,2014-03-10,2014-03-10,,Olivia Wilde,Tron,1984-03-10
529,nm0279545,2014-03-10,2014-03-10,,Isla Fisher,Wedding Crashers,1976-02-03
530,nm0940362,2014-03-10,2014-03-10,,Shailene Woodley,Divergent,1991-11-15
531,nm2313103,2014-03-10,2014-03-10,,Rebel Wilson,Pitch Perfect,1980-03-02
532,nm0731075,2014-03-10,2014-03-10,,Emma Roberts,We're the Millers,1991-02-10
533,nm1720028,2014-03-10,2014-03-10,,Amber Heard,Aquaman,1986-04-22
534,nm1954240,2014-03-10,2014-03-10,,Teresa Palmer,Lights Out,1986-02-26
535,nm1519680,2014-03-10,2014-03-10,,Saoirse Ronan,Hanna,1994-04-12
536,nm0006969,2014-03-10,2014-03-10,,Elizabeth Banks,The Hunger Games,1974-02-10
537,nm0526946,2017-09-16,2017-09-16,,Ida Lupino,High Sierra,1918-02-04
538,nm1754059,2014-03-10,2014-03-10,,Natalie Dormer,Game of Thrones,1982-02-11
539,nm0811242,2014-03-10,2014-03-10,,Brittany Snow,Pitch Perfect,1986-03-09
540,nm0544718,2014-03-10,2014-03-10,,Kate Mara,Fantastic Four,1983-02-27
541,nm2584600,2014-03-10,2014-03-10,,Julianne Hough,Rock of Ages,1988-07-20
542,nm2934314,2014-03-10,2014-03-10,,Lily Collins,The Mortal Instruments: City of Bones,1989-03-18
543,nm1130627,2014-03-10,2014-03-10,,Cobie Smulders,The Avengers,1982-04-03
544,nm1404408,2014-03-10,2014-03-10,,Alice Eve,Before We Go,1982-02-06
545,nm1512166,2014-03-10,2014-03-10,,Jamie Chung,Big Hero 6,1983-04-10
546,nm0636426,2014-03-10,2014-03-10,,Noomi Rapace,M�n som hatar kvinnor,1979-12-28
547,nm0515116,2014-03-10,2014-03-10,,Blake Lively,Gossip Girl,1987-08-25
548,nm1192254,2014-03-10,2014-03-10,,Maggie Grace,Taken,1983-09-21
549,nm0004754,2014-03-10,2014-03-10,,Jessica Biel,The Illusionist,1982-03-03
550,nm1200692,2014-03-10,2014-03-10,,Eva Green,Casino Royale,1980-07-06
551,nm0001228,2014-03-10,2014-03-10,,Peter Fonda,Easy Rider,1940-02-23
552,nm0000437,2014-03-10,2014-03-10,,Woody Harrelson,True Detective,1961-07-23
553,nm0000671,2014-03-10,2014-03-10,,Billy Bob Thornton,Sling Blade,1955-08-04
554,nm0252961,2014-03-10,2014-03-10,,Idris Elba,Beasts of No Nation,1972-09-06
555,nm0001329,2014-03-10,2014-03-10,,Nigel Hawthorne,The Madness of King George,1929-04-05
556,nm0000401,2014-03-10,2014-03-10,,Laurence Fishburne,The Matrix,1961-07-30
557,nm0001653,2014-03-10,2014-03-10,,Stephen Rea,The Crying Game,1946-10-31
558,nm0000886,2014-03-10,2014-03-10,,Warren Beatty,Bonnie and Clyde,1937-03-30
559,nm0001321,2014-03-10,2014-03-10,,Richard Harris,Gladiator,1930-10-01
560,nm0000131,2014-03-09,2014-03-09,,John Cusack,Grosse Pointe Blank,1966-06-28
561,nm0000110,2014-03-10,2014-03-10,,Kenneth Branagh,Henry V,1960-12-10
562,nm0001579,2014-03-10,2014-03-10,,Edward James Olmos,Battlestar Galactica,1947-02-24
563,nm0001884,2014-03-10,2014-03-10,,Max von Sydow,Flash Gordon,1929-04-10
564,nm0001136,2015-04-03,2015-04-03,,Bruce Dern,Nebraska,1936-06-04
565,nm0001364,2014-03-10,2014-03-10,,Bob Hoskins,The Long Good Friday,1942-10-26
566,nm0000249,2014-03-10,2014-03-10,,James Woods,Vampires,1947-04-18
567,nm0370035,2014-03-10,2014-03-10,,John Hawkes,The Sessions,1959-09-11
568,nm0001258,2014-03-10,2014-03-10,,James Garner,The Notebook,1928-04-07
569,nm0001832,2014-03-10,2014-03-10,,Sam Waterston,Law & Order,1940-11-15
570,nm0001371,2014-03-10,2014-03-10,,Tom Hulce,Amadeus,1953-12-06
571,nm0001215,2014-03-10,2014-03-10,,Albert Finney,Erin Brockovich,1936-05-09
572,nm0002018,2014-03-10,2014-03-10,,Tom Conti,Merry Christmas Mr. Lawrence,1941-11-22
573,nm0183822,2014-03-10,2014-03-10,,Tom Courtenay,45 Years,1937-02-25
574,nm0001545,2014-03-10,2014-03-10,,Dudley Moore,Arthur,1935-04-19
575,nm0000457,2014-03-10,2014-03-10,,John Hurt,Nineteen Eighty-Four,1940-01-22
576,nm0993507,2014-03-10,2014-03-10,,Kat Dennings,Nick and Norah's Infinite Playlist,1986-06-13
577,nm1231899,2017-09-16,2017-09-16,,Priyanka Chopra,Baywatch,1982-07-18
578,nm0728938,2014-03-10,2014-03-10,,Emmanuelle Riva,Amour,1927-02-24
579,nm1950086,2014-03-10,2014-03-10,,Greta Gerwig,Lady Bird,1983-08-04
580,nm0488953,2014-03-10,2014-03-10,,Brie Larson,Room,1989-10-01
581,nm1140300,2014-03-10,2014-03-10,,Jessica Lucas,Cloverfield,1985-09-24
582,nm0266029,2014-03-10,2014-03-10,,Maria Falconetti,La passion de Jeanne d'Arc,1892-07-21
583,nm0002093,2014-03-09,2014-03-09,,Greer Garson,Mrs. Miniver,1904-09-29
584,nm0751426,2014-03-10,2014-03-10,,Rosalind Russell,His Girl Friday,1907-06-04
585,nm0000079,2014-03-09,2014-03-09,,Raquel Welch,The Three Musketeers,1940-09-05
586,nm0000400,2014-03-10,2014-03-10,,Linda Fiorentino,The Last Seduction,1958-03-09
587,nm2829737,2014-03-10,2014-03-10,,Gabourey Sidibe,Precious,1983-05-06
588,nm0001114,2014-03-09,2014-03-09,,Judy Davis,Husbands and Wives,1955-04-23
589,nm0001201,2014-03-10,2014-03-10,,Mia Farrow,Rosemary's Baby,1945-02-09
590,nm0851582,2014-03-10,2014-03-10,,Audrey Tautou,Le fabuleux destin d'Am�lie Poulain,1976-08-09
591,nm0603402,2014-03-10,2014-03-10,,Jeanne Moreau,Jules et Jim,1928-01-23
592,nm0943837,2014-03-09,2014-03-09,,Jane Wyman,Falcon Crest,1917-01-05
593,nm0001687,2014-03-10,2014-03-10,,Gena Rowlands,The Notebook,1930-06-19
594,nm0544334,2014-03-10,2014-03-10,,Lesley Manville,Phantom Thread,1956-03-12
595,nm0647634,2014-03-10,2014-03-10,,Elizabeth Olsen,Martha Marcy May Marlene,1989-02-16
596,nm0000176,2014-03-10,2014-03-10,,Nastassja Kinski,Tess,1961-01-24
597,nm0491259,2014-03-10,2014-03-10,,M�lanie Laurent,Inglourious Basterds,1983-02-21
